Dealer ID,Dealer Name,Address,City,State,Zip,Pickup,Delivery
10364,BMW Of Greenwich,110 Midland Avenue,Port Chester,NY,10543,1,0
4315,Brian M. Malchak,9140 Brewerton Road,Brewerton,NY,13029,0,1
11868,Cox Auto Group,3400 Kirkwood Hwy,Wilmington,DE,19808,0,1
17168,Glenside Auto Sales Company Inc,32 Doe Run Road Building E,Manheim,PA,17545,0,1
,Haddad Group,1030 State Route 20,New Lebanon,NY,12125,0,0
11739,Honda Of Tarrytown,400 Oritani Drive,Blauvelt,NY,10913,1,1
2196,Hoselton Chevrolet Inc,12 N Lincoln Road,East Rochester,NY,14445,1,0
4332,Instacredit Automart,4040 Jeffco Blvd,Arnold,MO,63010,1,0
14427,Associated Sales & Leasing Inc.,231 Route 34,Matawan,NJ,08861,1,0
7242,Jim Shorkey Auto Group ,470 Arctic Street,Mckeesport,PA,15132,1,0
12537,MBM Auto Sales,499 Route 6A,East Sandwich,MA,02537,1,0
8090,Ned Woodruff Auto Sales,677 Conklin Road,Binghamton,NY,13902,1,0
17107,Progressive Auto Inc.,35 Park Avenue,East Orange,NJ,07017,0,0
8727,Revolution Auto Mall,4294 Park Avenue,Bronx,NY,10457,1,0
12587,Parks Vehicle Sourcing LLC,6439 North Tyron Street,Charlotte,NC,28213,1,0
4477,Williams Subaru (Vehicle Pickup @ J&R),498 Glenmary Drive,Owego,NY,13827,1,0
4476,Williams Nissan (Vehicle Pickup @ J&R),498 Glenmary Drive,Owego,NY,13828,1,0
4475,Williams Ford Lincoln (Vehicle Pickup @ J&R),498 Glenmary Drive,Owego,NY,13829,1,0
4474,Williams Toyota of Sayre (Vehicle Pickup @ J&R),498 Glenmary Drive,Owego,NY,13830,1,0
4459,Williams Toyota of Elmira (Vehicle Pickup @ J&R),498 Glenmary Drive,Owego,NY,13831,1,0
2297,Williams Honda (Vehicle Pickup @ J&R),498 Glenmary Drive,Owego,NY,13832,1,0
18081,Ferrario Ford Inc,498 Glenmary Drive,Owego,NY,13833,1,0
18077,Ferrario Ford Inc.,498 Glenmary Drive,Owego,NY,13834,1,0
3334,Ferrario Auto Center Towanda,498 Glenmary Drive,Owego,NY,13835,1,0
1989,Ferrario Auto Team (Vehicle pickup @ J&R),498 Glenmary Drive,Owego,NY,13836,1,0